mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_representation,param_representation__max_df,param_representation__min_df,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.47516663869222,0.38318294724132856,3.888704856236776,0.18308530881292373,MultinomialNB(),CountVectorizer(),0.8,0.1,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 0.1}",0.7287017038636909,0.7272290891635665,0.7323892955718229,0.7294400295330269,0.0021703726468746583,32
9.61521569887797,0.38167120104403235,3.701251268386841,0.16986720461221264,MultinomialNB(),CountVectorizer(),0.8,0.5,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 0.5}",0.5746340292776578,0.577463098523941,0.5724228969158767,0.5748400082391585,0.0020628020686950916,54
9.296854734420776,0.3425647864530385,4.509786049524943,0.16706183515368642,MultinomialNB(),CountVectorizer(),0.8,1.0,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 1}",0.8424526037916966,0.8522740909636386,0.8557542301692068,0.8501603083081807,0.0056323100002044655,14
8.455187797546387,0.19425681659767732,3.4423816204071045,0.12374657241905185,MultinomialNB(),CountVectorizer(),0.9,0.1,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 0.1}",0.7247420206383489,0.7223088923556942,0.7274690987639506,0.7248400039193311,0.0021077844745082015,36
8.344813664754232,0.23490897263250674,3.165970722834269,0.07517489882634092,MultinomialNB(),CountVectorizer(),0.9,0.5,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 0.5}",0.5866330693544517,0.5849033961358454,0.5875435017400696,0.5863599890767889,0.001094979156240073,51
9.303654511769613,0.6394612000437762,4.067898352940877,0.4994301175412014,MultinomialNB(),CountVectorizer(),0.9,1.0,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 1}",0.8425725941924646,0.8511940477619104,0.8543141725669027,0.8493602715070926,0.004965763935543631,16
9.224104881286621,0.2164955302455991,3.2901057402292886,0.061568589186640064,MultinomialNB(),CountVectorizer(),1.0,0.1,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 1.0, 'representation__min_df': 0.1}",0.7243820494360451,0.7238689547581904,0.7237489499579983,0.7239999847174113,0.00027456677989863256,37
8.603041251500448,0.38081812227028844,3.113750775655111,0.018008772366986767,MultinomialNB(),CountVectorizer(),1.0,0.5,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 1.0, 'representation__min_df': 0.5}",0.5986321094312455,0.6065042601704068,0.5985839433577343,0.6012401043197956,0.003722372237100339,44
8.20802609125773,0.2290177631106068,3.753663698832194,0.1582803938026616,MultinomialNB(),CountVectorizer(),1.0,1.0,"{'classifier': MultinomialNB(), 'representation': CountVectorizer(), 'representation__max_df': 1.0, 'representation__min_df': 1}",0.841732661387089,0.8499939997599903,0.8526341053642146,0.8481202555037646,0.004643530147772337,18
7.774617592493693,0.18482413212924537,3.371309518814087,0.10330762439617285,MultinomialNB(),TfidfVectorizer(),0.8,0.1,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 0.1}",0.7497000239980801,0.7374294971798872,0.7523100924036962,0.7464798711938879,0.006487684055987551,29
7.652967691421509,0.1438726829474543,3.1529385248819985,0.16741811870510834,MultinomialNB(),TfidfVectorizer(),0.8,0.5,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 0.5}",0.5764338852891768,0.578063122524901,0.5802232089283571,0.5782400722474783,0.0015520366863904457,53
8.423556804656982,0.1504344275728369,4.055956840515137,0.01750849372674304,MultinomialNB(),TfidfVectorizer(),0.8,1.0,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.8, 'representation__min_df': 1}",0.8581713462922966,0.859594383775351,0.8672746909876395,0.8616801403517624,0.003998375214391419,10
9.22557799021403,2.420782839260586,4.127429485321045,1.0039842159651056,MultinomialNB(),TfidfVectorizer(),0.9,0.1,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 0.1}",0.7505399568034558,0.7358694347773911,0.7519500780031201,0.7461198231946558,0.007270944802340762,30
8.277444203694662,0.38238208613302355,3.399500608444214,0.2412514106307539,MultinomialNB(),TfidfVectorizer(),0.9,0.5,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 0.5}",0.5897528197744181,0.5827433097323893,0.592823712948518,0.5884399474851084,0.004218716825920902,49
9.057042280832926,0.2967181582084304,4.152169227600098,0.04976814080858098,MultinomialNB(),TfidfVectorizer(),0.9,1.0,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 0.9, 'representation__min_df': 1}",0.8579313654907608,0.858994359774391,0.8667946717868715,0.8612401323506744,0.003951554164541614,11
7.9180378913879395,0.1527626698759054,3.218456268310547,0.08813056771170773,MultinomialNB(),TfidfVectorizer(),1.0,0.1,"{'classifier': MultinomialNB(), 'representation': TfidfVectorizer(), 'representation__max_df': 1.0, 'representation__min_df': 0.1}",0.7497000239980801,0.7442697707908317,0.7532701308052322,0.749079975198048,0.003700447313773556,28
